"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","test_delete_post_returns_200[chromium]","tests.api","2026-06-23","passed","2026-06-23","TestPostsAPI","test_jsonplaceholder_api","",""
"","12","test_get_todos_for_a_user[chromium]","tests.api","2026-06-23","passed","2026-06-23","TestUsersAPI","test_jsonplaceholder_api","",""
"","311","test_back_to_products_after_purchase[chromium]","tests.ui","2026-06-23","passed","2026-06-23","TestCheckout","test_checkout","",""
"","11","test_get_all_users_returns_200_and_list[chromium]","tests.api","2026-06-23","passed","2026-06-23","TestUsersAPI","test_jsonplaceholder_api","",""
"","282","test_invalid_login_combinations[chromium-wrong-password]","tests.ui","2026-06-23","passed","2026-06-23","TestLogin","test_login","",""
"","21","test_update_post_returns_200[chromium]","tests.api","2026-06-23","passed","2026-06-23","TestPostsAPI","test_jsonplaceholder_api","",""
"","287","test_locked_out_user_sees_error[chromium]","tests.ui","2026-06-23","passed","2026-06-23","TestLogin","test_login","",""
"","15","test_patch_post_returns_200[chromium]","tests.api","2026-06-23","passed","2026-06-23","TestPostsAPI","test_jsonplaceholder_api","",""
"","277","test_invalid_login_combinations[chromium-unknown-username]","tests.ui","2026-06-23","passed","2026-06-23","TestLogin","test_login","",""
"","10","test_get_single_post_returns_expected_schema[chromium]","tests.api","2026-06-23","passed","2026-06-23","TestPostsAPI","test_jsonplaceholder_api","",""
"","192","test_checkout_requires_all_fields[chromium-missing-last-name]","tests.ui","2026-06-23","passed","2026-06-23","TestCheckout","test_checkout","",""
"","33","test_sort_by_price_high_to_low[chromium]","tests.ui","2026-06-23","passed","2026-06-23","TestInventory","test_inventory","",""
"","9","test_all_users_have_valid_looking_email[chromium]","tests.api","2026-06-23","passed","2026-06-23","TestUsersAPI","test_jsonplaceholder_api","",""
"","10","test_get_single_user_returns_expected_schema[chromium]","tests.api","2026-06-23","passed","2026-06-23","TestUsersAPI","test_jsonplaceholder_api","",""
"","35","test_sort_by_price_low_to_high[chromium]","tests.ui","2026-06-23","passed","2026-06-23","TestInventory","test_inventory","",""
"","120","test_remove_item_from_cart[chromium]","tests.ui","2026-06-23","passed","2026-06-23","TestCart","test_cart","",""
