"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","345","test_standard_user_can_log_in[chromium]","tests.ui","2026-06-17","passed","2026-06-17","TestLogin","test_login","",""
"","49","test_get_all_posts_returns_200_and_list[chromium]","tests.api","2026-06-17","passed","2026-06-17","TestPostsAPI","test_jsonplaceholder_api","",""
"","22","test_all_products_are_displayed[chromium]","tests.ui","2026-06-17","passed","2026-06-17","TestInventory","test_inventory","",""
"","12","test_get_single_post_returns_expected_schema[chromium]","tests.api","2026-06-17","passed","2026-06-17","TestPostsAPI","test_jsonplaceholder_api","",""
"","97","test_cart_badge_updates_on_add[chromium]","tests.ui","2026-06-17","passed","2026-06-17","TestInventory","test_inventory","",""
"","15","test_get_all_users_returns_200_and_list[chromium]","tests.api","2026-06-17","passed","2026-06-17","TestUsersAPI","test_jsonplaceholder_api","",""
"","15","test_get_all_todos_returns_200[chromium]","tests.api","2026-06-17","passed","2026-06-17","TestTodosAPI","test_jsonplaceholder_api","",""
"","14","test_get_single_user_returns_expected_schema[chromium]","tests.api","2026-06-17","passed","2026-06-17","TestUsersAPI","test_jsonplaceholder_api","",""
"","124","test_added_items_appear_in_cart[chromium]","tests.ui","2026-06-17","passed","2026-06-17","TestCart","test_cart","",""
"","301","test_complete_purchase_end_to_end[chromium]","tests.ui","2026-06-17","passed","2026-06-17","TestCheckout","test_checkout","",""
