"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Authentication","1","0","Successful login","0"
"0","","0","API - Posts","1","0","List posts","0"
"0","","0","Inventory","1","0","Product listing","0"
"0","","0","API - Posts","1","0","Get single post","0"
"0","","0","Inventory","1","0","Cart badge","0"
"0","","0","API - Users","1","0","List users","0"
"0","","0","API - Todos","1","0","List todos","0"
"0","","0","API - Users","1","0","Get single user","0"
"0","","0","Cart","1","0","Add and view cart","0"
"0","","0","Checkout","1","0","Happy path purchase","0"
