"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","test_get_all_users_returns_200_and_list[chromium]","tests.api","2026-09-26","passed","2026-09-26","TestUsersAPI","test_jsonplaceholder_api","",""
"","251","test_locked_out_user_sees_error[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestLogin","test_login","",""
"","21","test_patch_post_returns_200[chromium]","tests.api","2026-09-26","passed","2026-09-26","TestPostsAPI","test_jsonplaceholder_api","",""
"","30","test_sort_by_price_high_to_low[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","262","test_standard_user_can_log_in[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestLogin","test_login","",""
"","36","test_get_all_posts_returns_200_and_list[chromium]","tests.api","2026-09-26","passed","2026-09-26","TestPostsAPI","test_jsonplaceholder_api","",""
"","14","test_filter_completed_todos[chromium]","tests.api","2026-09-26","passed","2026-09-26","TestTodosAPI","test_jsonplaceholder_api","",""
"","285","test_error_message_can_be_dismissed[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestLogin","test_login","",""
"","931","test_logout_returns_to_login_page[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","28","test_sort_by_price_low_to_high[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","14","test_filter_posts_by_user_id[chromium]","tests.api","2026-09-26","passed","2026-09-26","TestPostsAPI","test_jsonplaceholder_api","",""
"","276","test_back_to_products_after_purchase[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestCheckout","test_checkout","",""
"","27","test_sort_by_name_a_to_z[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","14","test_get_single_user_returns_expected_schema[chromium]","tests.api","2026-09-26","passed","2026-09-26","TestUsersAPI","test_jsonplaceholder_api","",""
"","16","test_get_comments_for_a_post[chromium]","tests.api","2026-09-26","passed","2026-09-26","TestPostsAPI","test_jsonplaceholder_api","",""
"","208","test_checkout_requires_all_fields[chromium-missing-first-name]","tests.ui","2026-09-26","passed","2026-09-26","TestCheckout","test_checkout","",""
"","5267","test_performance_glitch_user_eventually_logs_in[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestLogin","test_login","",""
"","22","test_delete_post_returns_200[chromium]","tests.api","2026-09-26","passed","2026-09-26","TestPostsAPI","test_jsonplaceholder_api","",""
"","220","test_total_equals_subtotal_plus_tax[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestCheckout","test_checkout","",""
"","246","test_invalid_login_combinations[chromium-wrong-password]","tests.ui","2026-09-26","passed","2026-09-26","TestLogin","test_login","",""
"","15","test_get_single_post_returns_expected_schema[chromium]","tests.api","2026-09-26","passed","2026-09-26","TestPostsAPI","test_jsonplaceholder_api","",""
"","18","test_create_todo_returns_201[chromium]","tests.api","2026-09-26","passed","2026-09-26","TestTodosAPI","test_jsonplaceholder_api","",""
"","129","test_remove_item_from_cart[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","75","test_continue_shopping_returns_to_inventory[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","228","test_invalid_login_combinations[chromium-blank-username]","tests.ui","2026-09-26","passed","2026-09-26","TestLogin","test_login","",""
"","238","test_invalid_login_combinations[chromium-unknown-username]","tests.ui","2026-09-26","passed","2026-09-26","TestLogin","test_login","",""
"","31","test_sort_by_name_z_to_a[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","24","test_all_products_are_displayed[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","304","test_complete_purchase_end_to_end[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestCheckout","test_checkout","",""
"","101","test_cart_badge_updates_on_add[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","244","test_blank_password_shows_error[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestLogin","test_login","",""
"","127","test_added_items_appear_in_cart[chromium]","tests.ui","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
